LIN28B_CB2_rRNA	LIN28B_CB2	PURA_abcam_trim	PURA_bethyl_trim
33	21	0	1
5	5	0	0
10	10	0	0
120	70	0	13
7	7	0	0
32	32	0	0
26	15	0	0
18	18	0	3
30	7	0	0
23	11	0	6
3	3	0	317
13	0	1	3
38	4	0	2
0	0	1	0
6	0	1	0
9	6	0	1
9	9	0	0
92	12	0	0
13	11	0	1
24	6	0	0
32	8	0	0
39	3	0	2
55	38	0	5
55	31	0	1
43	16	0	6
85	27	2	0
10	10	0	2
210	21	0	5
0	0	1	0
0	0	1	0
129	120	0	119
21	16	0	8
57	12	1	1
2	2	0	0
21	2	0	1
9	5	0	0
196	14	0	0
19	8	0	0
106	55	0	5
15	4	0	0
23	7	0	0
14	5	0	0
4	4	1	0
85	16	0	0
14	7	0	3
155	34	0	0
56	15	0	0
2	1	1	0
40	40	1	22
37	9	0	6
0	0	3	1
99	59	0	0
28	12	0	0
22	13	0	4
1	1	1	0
28	4	0	0
11	11	0	0
28	6	0	0
50	10	0	10
134	41	0	82
27	25	0	6
594	252	1	142
71	42	0	1
62	46	0	51
251	35	0	17
254	51	0	13
1	1	0	0
6	6	0	3
153	108	0	65
17	9	0	0
0	0	1	0
73	29	0	19
12	7	0	6
16	16	0	1
0	0	1	0
42	8	0	1
101	49	1	14
23	20	0	7
17	3	0	0
82	24	0	14
4	4	0	2
0	0	1	0
5	0	1	0
10	0	1	0
14	1	0	0
12	12	0	1
5	5	0	0
15	9	0	1
51	18	0	0
10	6	0	0
48	32	0	0
27	7	0	0
109	86	0	31
21	13	0	4
2	2	0	0
37	23	0	0
15	12	0	0
35	5	0	1
1609	1283	0	361
5745	2028	1	530
94	63	0	12
25	0	0	2
23	12	0	4
9	8	0	1
44	44	0	30
68	22	0	69
35	0	1	0
0	0	1	0
8	8	0	0
2	2	0	0
3	3	2	1
25	20	0	7
16	16	0	4
0	0	1	0
33	0	0	8
2	2	0	0
0	0	1	0
55	7	0	0
25	3	0	0
14	8	0	9
14	3	1	0
66	44	0	26
11	5	0	10
32	12	0	0
33	8	0	0
16	8	0	2
64	30	0	10
0	0	1	0
0	0	1	0
18	4	0	0
29	6	0	0
9	6	0	0
26	7	0	3
0	0	1	0
8	3	0	0
42	29	0	0
24	4	0	0
32	5	0	0
0	0	2	0
3	0	1	0
0	0	1	0
0	0	1	0
0	0	1	0
0	0	1	0
0	0	1	0
1	1	2	0
49	16	0	0
5	5	0	0
48	10	0	0
21	5	0	0
129	83	0	13
28	19	0	2
0	0	1	0
19	8	0	2
14	5	0	0
612	343	1	180
33	25	0	0
343	111	0	53
74	30	0	9
708	126	0	43
7	7	0	0
59	42	0	25
0	0	1	0
58	4	0	2
42	18	0	5
5	5	0	1
49	4	0	0
10	10	0	3
49	13	0	0
15	8	0	0
1	0	1	0
0	0	1	0
9	9	0	2
0	0	1	0
0	0	1	0
0	0	1	0
0	0	3	0
12	12	0	0
7	7	0	0
12	8	0	0
3	3	2	0
90	18	0	1
158	124	1	3
0	0	1	0
25	4	0	0
0	0	1	0
16	16	0	206
5	5	0	82
33	0	1	2
46	14	1	30
0	0	0	0
5	5	0	137
52	2	0	6
0	0	1	0
16	6	0	0
18	18	0	1
40	40	0	6
17	9	0	0
59	44	0	5
29	18	0	0
21	14	0	1
11	11	0	0
53	34	0	1
61	37	0	0
214	114	0	50
31	11	0	0
13	0	1	0
21	0	0	73
82	25	0	16
28	25	0	17
75	47	0	34
170	102	1	183
0	0	1	0
0	0	1	5
15	11	0	1
57	21	0	1
169	22	0	9
46	19	0	0
5	5	0	0
13	13	0	3
157	34	0	1
740	436	0	34
0	0	1	0
22	19	0	1
11	11	0	1
78	35	0	0
46	28	0	4
41	11	0	10
16	16	0	11
0	0	1	0
13	13	0	11
19	19	0	13
41	3	0	0
54	38	0	11
17	6	0	1
12	12	0	2
164	14	0	10
0	0	1	0
7	7	0	0
168	29	7	66
74	12	0	15
0	0	4	56
0	0	0	151
0	0	1	56
0	0	0	105
0	0	1	0
0	0	1	0
8	7	0	5
14	8	0	0
150	70	0	27
39	18	0	0
10	8	0	0
23	23	1	2
115	113	0	7
154	18	0	0
14	14	0	3
13	6	0	0
48	15	0	5
18	8	0	5
612	403	1	191
1	1	1	0
65	2	2	5
7	7	0	1
0	0	1	1
174	118	1	120
285	85	0	125
22	2	0	1
7	7	0	4
0	0	1	0
15	6	0	0
50	21	0	3
0	0	1	0
107	55	0	336
17	17	0	19
2	2	0	0
233	59	0	45
172	45	0	27
11	11	0	24
1	1	0	0
0	0	1	0
0	0	1	0
15	10	0	2
9	7	0	0
0	0	1	0
93	64	0	14
78	5	0	0
1	1	1	0
32	21	0	10
101	36	0	2
58	20	0	0
48	4	0	0
0	0	1	0
39	29	0	3
0	0	1	0
8	8	0	1
63	1	0	1
8	2	1	0
0	0	1	0
163	114	0	111
63	5	0	2
27	26	0	11
21	21	0	30
10	10	0	0
13	11	0	0
25	17	0	0
18	11	0	3
0	0	1	0
17	17	0	5
93	88	0	44
5	5	0	0
0	0	2	0
6	6	0	1
133	43	0	15
8	6	0	11
2	2	1	0
25	4	0	0
123	19	0	5
8	6	0	2
13	13	0	1
58	20	0	1
0	0	1	0
0	0	1	1
2	2	0	1
468	350	0	127
13	13	0	1
138	32	0	10
130	13	0	4
156	11	0	5
96	20	0	4
6	6	0	0
18	9	0	3
31	11	2	1
19	8	0	0
84	3	0	0
33	10	0	0
51	13	0	1
30	23	0	1
22	17	0	1
81	7	0	0
21	0	0	0
21	5	0	6
22	22	0	9
16	3	0	0
40	14	0	0
13	3	0	0
7	0	1	0
41	4	0	0
7	7	1	0
0	0	1	0
10	10	0	4
25	12	1	1
8	2	0	0
0	0	2	0
